1,AENEAS,@aeneas2020
2,AGINFRA+,@aginfra
3,ARCHIVER,@ArchiverProject
4,BE OPEN,@OpenScTransport
5,Blue-Cloud,@BlueCloudEU
6,CatRIS,@project_catris
7,CINECA,CinecaProject
8,COS4CLOUD,@Cos4Cloud
9,CS3MESH4EOSC,@cs3org
10,DARE,@EU_project_DARE
11,DEEP-Hybrid-DataCloud,@DEEP_eu
12,DigitalHealthEurope,@DHE_2020
13,e-IRGSP6,@eirgeu
14,eInfraCentral,@eInfraCentral
15,ENVRI-FAIR,@ENVRIcomm
16,EOSC Enhance,@EoscPortal
17,EOSC-hub,@EOSC_eu
18,EOSC-Life,@EoscLife
19,EOSC-Nordic,@EOSC_Nordic
20,EOSC-Pillar,@EoscPillar
21,EOSC-Synergy,@EOSC_synergy
22,EOSCpilot,@eoscpilot
23,EOSCsecretariat.eu,@EoscSecretariat
24,ESCAPE,@ESCAPE_EU
25,ExPaNDS,@ExPaNDs_EU
26,FAIR4Fusion,@fair4fusion
27,FAIR4Health,@Fair4Health
28,FAIRplus,@FAIRplus_eu
29,FAIRsFAIR,@FAIRsFAIR_EU
30,FNS-Cloud,@FNSCloudEU
31,FREYA,@freya_eu
32,GN4-3,@GEANTnews
33,HNSciCloud,@HelixNebulaSC
34,ICEDIG,@ICEDIG_eu
35,INODE,??
36,NEANIAS,@Neanias_eu
37,NI4OS-Europe,@NI4OS_eu
38,OCRE,@OCREproject
39,OpenAIRE-Advance,@OpenAIRE_eu
40,OpenRIskNet,@openrisknet
41,PaNOSC,@Panosc_eu
42,PRIMAGE,@primage_project
43,PROCESS,@PROCESS_H2020
44,RDA Europe 4.0,@resdatall
45,SSHOC,@SSHOpenCloud
46,TRIPLE,@TripleEU
47,VirtualBrainCloud,@TVB_cloud
48,XDC,@XtremeDataCloud
